,memory,false_positive_rating,false_positive_target,t_val
0,126,0.809049048701618,0.8,0.01171875
1,448,0.3823299724068514,0.4,0.0234375
2,811,0.2068502739068312,0.2,0.0390625
3,1373,0.09749289924740699,0.1,0.04296875
4,2006,0.06160445192602491,0.05,0.0599999725818634
5,4512,0.02552221624467082,0.025,0.09375
6,9346,0.01212189577078597,0.0125,0.15625
7,19487,0.006131810793143942,0.00625,0.234375
8,38727,0.0031902770305838523,0.003125,0.359375
9,146782,0.0015936923335010905,0.0015625,0.625
10,837998,0.000763583985561321,0.00078125,0.875
11,1904613,0.0005755803527526624,0.000390625,0.9375
12,1904613,0.0005726879891709908,0.0001953125,0.9375
13,1904613,0.0005726879891709908,9.765625e-05,0.9375
14,1904613,0.0005697956255893191,4.8828125e-05,0.9375
